name,address,latitude,longitude,rating,rating_count,place_id
Restaurant Badhuis,"Willem van Noortplein 19, Utrecht",52.10289119999999,5.123179899999999,4.7,497,ChIJ-7GlQThvxkcRry5RdGrCS1Q
Park Plaza Utrecht,"Westplein 50, Utrecht",52.0915,5.10676,4.1,1648,ChIJVelBf2hvxkcRVl53oabtZ8U
Belgisch Biercafé Olivier Utrecht,"Achter Clarenburg 6a, Utrecht",52.0906327,5.115675800000001,4.5,9008,ChIJ_dlisFxvxkcRA3Fd4GPCQ9Y
La Cubanita Utrecht,"Oudkerkhof 44, Utrecht",52.0920096,5.121766,3.9,1178,ChIJz66NQUVvxkcRKGQ4uY5l-E4
Popocatepetl The Mexican Utrecht,"Nobelstraat 163, Utrecht",52.09295590000001,5.124828000000001,4.0,945,ChIJk9QBok9vxkcRfBgM72BM6YM
Winkel van Sinkel,"Oudegracht 158, Utrecht",52.0919616,5.118717099999999,3.7,4627,ChIJtdR-w0RvxkcRR2dgjwIvt-Q
Restaurant De Markt Utrecht centrum,"Drieharingstraat 27, Utrecht",52.092128,5.115712,4.0,2087,ChIJ2ZSnX11vxkcRX-bSU_t2Ud0
Café Tilt!,"Lange Jufferstraat 62, Utrecht",52.0947714,5.125651199999999,4.2,1361,ChIJUxpJPE9vxkcRWVNtPrw8mJk
El Olivo Happs,"Oudegracht, Oudegracht aan de Werf 73 a, Utrecht",52.0938289,5.1163319,3.5,657,ChIJD0TGaENvxkcRtWbexaqW42U
FAK Utrecht - Restaurant & Sushi Bar,"Drieharingstraat 16, Utrecht",52.0920016,5.115680900000001,4.0,637,ChIJz_BKW0NvxkcRZPY3guPm2iM
Museum Speelklok,"Steenweg 6, Utrecht",52.09082670000001,5.119593699999999,4.5,3715,ChIJi_joKltvxkcRXXh-E9QA1ZU
Restaurant PK bar & kitchen,"Oudegracht 101, 103, Utrecht",52.09259530000001,5.1166668,4.1,2627,ChIJZyMInkRvxkcRInADmcyk2Qc
Café de Zaak,"Korte Minrebroederstraat 9, Utrecht",52.0921093,5.120213,4.4,1750,ChIJnQ8QIkVvxkcRDdVOkzdS_0o
Florin Utrecht,"Nobelstraat 2, Utrecht",52.0932533,5.1240435,4.2,1106,ChIJWXf6gk9vxkcRHTIzf0-2KDs
ACU,"Voorstraat 71, Utrecht",52.09496060000001,5.1219151,4.5,761,ChIJ8bciwEVvxkcRPPnqa9fylnE
Theatercafé The Bastard,"Jansveld 17, Utrecht",52.0940666,5.120056200000001,4.4,497,ChIJy87dUkRvxkcRwlIBi-CTIqQ
Hofman Utrecht,"Janskerkhof 17A, Utrecht",52.0940028,5.1211031,4.1,2318,ChIJwTyrpUVvxkcRhYSw5kjBRG4
Bij Guusjes,"Van 's-Gravesandestraat 27, Utrecht",52.10000530000001,5.121328800000001,4.3,831,ChIJHSweoEdvxkcRJvC-_vujHXg
Hagenouw Eten,"Godebaldkwartier 255, Utrecht",52.0890892,5.1136446,4.3,836,ChIJo0e78VxvxkcRv2h6tMSLSzI
Graaf Floris,"Vismarkt 13, Utrecht",52.0910124,5.120429199999998,4.3,1707,ChIJ8Q-DMkVvxkcR5aRcA_oGkaw
Café Orloff,"Donkere Gaard 8, Utrecht",52.08981619999999,5.1211266,4.3,1304,ChIJY1vPuFpvxkcRkafNW4bNRHo
Theater Kikker,"Ganzenmarkt 14, Utrecht",52.09223900000001,5.119176,4.4,322,ChIJ7z2B50RvxkcRKacBDDZjdPM
Kafé België,"Oudegracht 196, Utrecht",52.0890121,5.1215358,4.5,2824,ChIJW5MOkVpvxkcRDYqgo2pLGBY
Café de Kneus B.V.,"Nobelstraat 303, Utrecht",52.09283079999999,5.1262798,3.2,123,ChIJC359rE9vxkcR3lBbg7j6JJQ
Café Voortuin🍺,"Voorstraat 4, Utrecht",52.0937962,5.118385000000001,4.2,580,ChIJI-ifYERvxkcRMeCHDuLTXhA
